,label,area,equivalent_diameter,mean_intensity,solidity,Image_num
0,10,63927.0,285.29701080853397,132.5882178109406,0.9908704817409635,1
1,11,150.0,13.819765978853418,161.1,0.9868421052631579,1
2,12,375.0,21.850968611841584,120.912,0.9894459102902374,1
3,13,64.0,9.0270333367641,118.421875,1.0,1
0,10,62879.0,282.94881044705295,129.7028737734379,0.9746264492528985,2
1,11,1428.0,42.64019312669459,116.27871148459384,0.9814432989690721,2
2,12,209.0,16.312788383647018,110.31100478468899,0.990521327014218,2
0,10,63898.0,285.23229205243825,137.24642398823124,0.9904209808419617,3
1,11,618.0,28.05106127486678,172.1925566343042,0.9686520376175548,3
0,10,64516.0,286.6083084422602,142.46089342178684,1.0,4
0,10,63617.0,284.60442743818453,155.38909411006492,0.9860654721309443,5
1,11,227.0,17.000746355818674,167.96035242290748,0.9826839826839827,5
2,12,672.0,29.25093116572581,175.55505952380952,0.9795918367346939,5
0,10,63204.0,283.679100720235,130.84898107714702,0.9796639593279186,6
1,11,795.0,31.815490536285218,125.82012578616352,0.9742647058823529,6
2,12,517.0,25.65667251667837,160.0541586073501,0.9699812382739212,6
0,10,62173.0,281.35586401356426,142.25305196789603,0.9636834273668548,7
1,11,50.0,7.978845608028654,128.54,1.0,7
2,12,980.0,35.32385530828224,108.60306122448979,0.9751243781094527,7
3,13,1313.0,40.887204871906675,114.75780654988576,0.8812080536912752,7
0,10,61962.0,280.87803166299807,134.71246893257157,0.9604129208258416,8
1,11,2431.0,55.63492907563719,114.96421225832991,0.962010288880095,8
2,12,123.0,12.514330345744634,116.17073170731707,0.968503937007874,8
0,10,64516.0,286.6083084422602,147.68476036952075,1.0,9
0,10,64009.0,285.4799292751647,139.09964223781031,0.9921414842829686,10
1,11,507.0,25.40733061895184,159.5463510848126,0.9844660194174757,10
0,10,64516.0,286.6083084422602,140.3786502573005,1.0,11
0,10,62785.0,282.7372363453339,145.8911682726766,0.9731694463388927,12
1,11,1136.0,38.03156745151513,178.01672535211267,0.9759450171821306,12
2,12,595.0,27.524126309792685,165.34117647058824,0.9802306425041186,12
0,10,64516.0,286.6083084422602,148.3520522041044,1.0,13
0,10,62333.0,281.71766104022817,132.82641618404375,0.9661634323268646,14
